user_id,name,travel_style,budget_level,interest_culture,interest_nature,interest_food,interest_entertainment,outdoor_affinity
1,Samantha Garrett,Backpacker,Low,0.7802857225639666,0.892797576724562,0.5394633936788146,0.34680559213273093,0.7467983561008608
2,Michael Gates,Luxury,High,0.9464704583099741,0.4404460046972835,0.8832290311184181,0.408233797718321,0.5909729556485983
3,Stacey Hendricks,Adventure,Medium,0.38493564427131044,0.7545474901621302,0.35502135295603016,0.4912726728878613,0.9049512863264476
4,Samantha Patel,Backpacker,Low,0.5164916560792168,0.8447411578889518,0.3557975442608167,0.3876433945605654,0.8099085529881075
5,Noah Schultz,Backpacker,Low,0.7140703845572055,0.6798695128633439,0.5056937753654446,0.47772437065861273,0.7139351238159993
6,Stephen Anderson,Family,Medium,0.4511572371061875,0.4260206371941118,0.784665661176,0.9862528132298237,0.6425192044349384
7,Kimberly Kelly,Backpacker,Low,0.43906884560255355,0.8736932106048627,0.4760609974958405,0.33661147045343365,0.848553073033381
8,Holly Bass,Luxury,High,0.9637281608315128,0.3035119926400068,0.8650089137415928,0.5246844304357644,0.45602040635334323
9,Dominique Bowers,Backpacker,Low,0.4739417822102108,0.9878338511058234,0.6100531293444458,0.5818496824692567,0.9684482051282947
10,Emily Short,Family,Medium,0.676562270506935,0.4353970008207678,0.5587948587257435,0.6180909155642152,0.49759909922897927
11,Joseph Ford,Backpacker,Low,0.5085396127095584,0.9314950036607718,0.44270133067743567,0.3842803529062142,0.8628088249474746
12,Deborah Simpson,Luxury,High,0.9208787923016158,0.22982025747190835,0.9947547746402069,0.708897907718663,0.3596147044602517
13,Joseph Reid,Luxury,High,0.9261845713819337,0.48274293753904685,0.8916028672163949,0.7085081386743783,0.3222133955202271
14,Justin Allen,Backpacker,Low,0.4463476238100519,0.9452413703502374,0.5493192507310232,0.39926940745579476,0.7190675050858071
15,Christopher Jones,Backpacker,Low,0.5300733288106989,0.8918424713352255,0.5550229885420852,0.566163822772898,0.8416644775485848
16,Elizabeth Faulkner,Luxury,High,0.885297914889198,0.504314019446759,0.8245108790277985,0.7083868719818245,0.44813867890931725
17,Anthony Henry,Backpacker,Low,0.5710164073434199,0.610167650697638,0.34315657079732176,0.30942875570602024,0.8909231233791342
18,Thomas Mercer,Backpacker,Low,0.6034282764658812,0.9630265895704372,0.39971689165954993,0.4231148769106889,0.9266653415629146
19,Samantha Smith,Luxury,High,0.6307919639315172,0.31590058116550723,0.6644885149016018,0.7718790609370293,0.542436113869325
20,Kristopher Baker,Family,Medium,0.6614381770563154,0.7214688307596459,0.5559710176658108,0.9570235993959911,0.5618026725746952
21,Bobby King,Adventure,Medium,0.6584365199693972,0.7954010424915592,0.333015577358303,0.4683805487625825,0.8854215577252513
22,Christopher Lawrence,Adventure,Medium,0.6442922333025374,0.7020856391593572,0.4532241907732697,0.5252233009446337,0.8444215620941461
23,Patricia Lyons,Luxury,High,0.7350460685614512,0.5771638815650076,0.7292811728083021,0.6075162486973464,0.5109056876685534
24,Sarah Velez,Backpacker,Low,0.7887128330883844,0.9849789179768444,0.40071291833014566,0.4491745517677156,0.7902634929450308
25,Erik Moore,Backpacker,Low,0.4147547789418131,0.8438257335919588,0.5010716092915446,0.3154436253749968,0.7835939392709834
26,Francis Jones,Adventure,Medium,0.3958247562667889,0.7434684616273669,0.4468358280832689,0.6956951362331802,0.8484110543023001
27,Crystal Williams,Family,Medium,0.6284858845986152,0.4950550175969599,0.7184649045835579,0.7471132530877013,0.5896917491780738
28,Daniel Nguyen,Family,Medium,0.5607324052224275,0.43611590802176337,0.7505907486767714,0.7283120259886944,0.4559555531199563
29,Elizabeth Potts,Luxury,High,0.8363571772752967,0.47102574473691294,0.6066351315711425,0.6048372233197125,0.3679487325593814
30,David Green,Family,Medium,0.45230992870149744,0.6763750952409864,0.6160206038901612,0.9746919954946938,0.441256283243798
31,Michelle Bowers,Backpacker,Low,0.44538940849623565,0.9698774473114251,0.6509357413523924,0.3773824883145467,0.8979952138102537
32,Katrina Jackson,Adventure,Medium,0.5220803246397849,0.8588951735068019,0.3725556872701355,0.42793083034176976,0.9794431515906654
33,Kent Hunter,Adventure,Medium,0.5532405829093072,0.8017089373146101,0.40476287238379827,0.6177867036610718,0.9794220519905155
34,Gregory Harrison,Adventure,Medium,0.6119502183430495,0.8926094938462863,0.3252419894985146,0.44848861422838415,0.9797108377054159
35,Diane Jarvis,Family,Medium,0.40275911548498894,0.44058861714641284,0.6990505307324167,0.6020246335384875,0.4482424154252496
36,Christina Doyle,Backpacker,Low,0.6767580790770773,0.8607845038010402,0.3897077237842239,0.5136537664042607,0.77117472624904
37,Tiffany Garcia,Backpacker,Low,0.6985965620472097,0.8598531596188859,0.6396893641976711,0.497283867690103,0.8704925810006414
38,Curtis Clark,Luxury,High,0.7470863212237734,0.3060809470726902,0.6975958573516334,0.7892042219009783,0.4179293174000281
39,Jenny Steele,Adventure,Medium,0.5524554503989052,0.9384433910624945,0.4507911279315576,0.5730711653879077,0.8985035387637728
40,Jeffrey Ward,Luxury,High,0.888980846104602,0.3123089449763423,0.6097263865725815,0.6581889183628671,0.35313320382211466
41,James Sherman,Adventure,Medium,0.6815714308010349,0.9744593170661345,0.4110476100766333,0.40463698495866024,0.9856637125175451
42,Dawn Huynh,Backpacker,Low,0.7866619276174679,0.9854479908357011,0.641203782186944,0.3883346676208757,0.8155293185805775
43,Gwendolyn Thompson,Adventure,Medium,0.42676880206251105,0.7508478240058277,0.46704037873750504,0.6808464322482343,0.9392059593349946
44,Francisco Smith,Family,Medium,0.42915294813123056,0.646002890679668,0.7970161550312791,0.6560336060946096,0.555498895709121
45,Edward Garcia,Adventure,Medium,0.5963074471016818,0.9091047222985804,0.5107452251961327,0.5078473453659266,0.8587183688528988
46,David Stevens,Adventure,Medium,0.6240453578716723,0.960121695574031,0.5739721657669414,0.5534027196582814,0.9003032589374399
47,Andrew Oliver,Family,Medium,0.5949891792333295,0.6807867509030814,0.7387378008308303,0.9560021367270265,0.5013985470554607
48,Samantha Coffey,Backpacker,Low,0.4375927759363476,0.8313120563984696,0.31437690951869685,0.43967940543973805,0.862793390412273
